nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
ANALOG DEVICES INC COM,032654105,357,2036,SH,,SOLE,,0,0,2036
TRANSDIGM GROUP INC COM,893641100,3291,5172,SH,,SOLE,,0,0,5172
ARISTA NETWORKS INC COM,040413106,4181,29086,SH,,SOLE,,0,0,29086
VANGUARD DIVIDEND APPRECIATION INDEX FUND,921908844,349,2033,SH,,SOLE,,0,0,2033
ISHARES CORE US AGGREGATE BOND ETF,464287226,741,6496,SH,,SOLE,,0,0,6496
ISHARES CORE DIVIDEND GROWTH ETF,46434V621,488,8793,SH,,SOLE,,0,0,8793
SPDR PORTFOLIO S P 500 ETF,78464A854,29573,529702,SH,,SOLE,,0,0,529702
EATON CORP PLC SHS,G29183103,774,4479,SH,,SOLE,,0,0,4479
ABIOMED INC COM,003654100,287,800,SH,,SOLE,,0,0,800
ESSENTIAL UTILS INC COM,29670G102,443,8259,SH,,SOLE,,0,0,8259
CIENA CORP COM NEW,171779309,4668,60657,SH,,SOLE,,0,0,60657
VANGUARD SHORT TERM BOND INDEX FUND,921937827,269,3329,SH,,SOLE,,0,0,3329
LIBERTY MEDIA CORP DEL ,531229AB8,78,53000,SH,,SOLE,,0,0,53000
SPDR PORTFOLIO S P 500 GROWTH ETF,78464A409,7712,106418,SH,,SOLE,,0,0,106418
UNIVEST FINANCIAL CORPORATION COM,915271100,809,27044,SH,,SOLE,,0,0,27044
PHILIP MORRIS INTL INC COM,718172109,548,5772,SH,,SOLE,,0,0,5772
ROPER TECHNOLOGIES INC COM,776696106,7600,15452,SH,,SOLE,,0,0,15452
SPDR BLOOMBERG HIGH YIELD BOND ETF,78468R622,8929,82243,SH,,SOLE,,0,0,82243
PNC FINL SVCS GROUP INC COM,693475105,546,2727,SH,,SOLE,,0,0,2727
EQUINIX INC COM,29444U700,4064,4805,SH,,SOLE,,0,0,4805
BRISTOL MYERS SQUIBB CO COM,110122108,250,4019,SH,,SOLE,,0,0,4019
ISHARES RUSSELL 3000 ETF,464287689,466,1680,SH,,SOLE,,0,0,1680
REALTY INCOME CORP COM,756109104,264,3698,SH,,SOLE,,0,0,3698
ALTRIA GROUP INC COM,02209S103,395,8348,SH,,SOLE,,0,0,8348
DOMINION ENERGY INC COM,25746U109,465,5922,SH,,SOLE,,0,0,5922
EXXON MOBIL CORP COM,30231G102,826,13509,SH,,SOLE,,0,0,13509
UNITEDHEALTH GROUP INC COM,91324P102,13219,26325,SH,,SOLE,,0,0,26325
TRAVELERS COMPANIES INC COM,89417E109,414,2651,SH,,SOLE,,0,0,2651
LOWES COS INC COM,548661107,2180,8436,SH,,SOLE,,0,0,8436
DEERE  CO COM,244199105,230,672,SH,,SOLE,,0,0,672
COLGATE PALMOLIVE CO COM,194162103,227,2661,SH,,SOLE,,0,0,2661
ATLAS AIR WORLDWIDE HLDGS INC ,049164BH8,67,53000,SH,,SOLE,,0,0,53000
UTILITIES SELECT SECTOR SPDR FUND,81369Y886,415,5805,SH,,SOLE,,0,0,5805
ACTIVISION BLIZZARD INC COM,00507V109,1373,20640,SH,,SOLE,,0,0,20640
SPDR PORTFOLIO DEVELOPED WORLD EX US ETF,78463X889,1182,32425,SH,,SOLE,,0,0,32425
TORONTO DOMINION BK ONT COM NEW,891160509,4959,64679,SH,,SOLE,,0,0,64679
BLACKROCK INC COM,09247X101,22390,24455,SH,,SOLE,,0,0,24455
ISHARES S P MIDCAP FUND,464287507,1102,3893,SH,,SOLE,,0,0,3893
ZILLOW GROUP INC CL C CAP STK,98954M200,764,11980,SH,,SOLE,,0,0,11980
APPLE INC COM,037833100,70730,398321,SH,,SOLE,,0,0,398321
WEC ENERGY GROUP INC COM,92939U106,4422,45562,SH,,SOLE,,0,0,45562
ABBOTT LABS COM,002824100,8280,58832,SH,,SOLE,,0,0,58832
DISNEY WALT CO COM,254687106,10556,68152,SH,,SOLE,,0,0,68152
MARSH  MCLENNAN COS INC COM,571748102,9367,53893,SH,,SOLE,,0,0,53893
